,,2011,Censo,35779491,,
,,2011,Votantes,24666392,68.9,
,,2011,Nulos,317555,,
,,2011,V&aacute;lidos,24348837,,
,,2011,Blancos,333461,,
,,2011,Partido Popular (PP),10866566,44.6,186
,,2011,Partido Socialista Obrero Espa&ntilde;ol (PSOE),7003511,28.8,110
,,2011,Converg&egrave;ncia i Uni&oacute; (CiU),1015691,4.2,16
,,2011,La Izquierda Plural (IU-LV),1685991,6.9,11
,,2011,Amaiur (AMAIUR),334498,1.4,7
,,2011,Uni&oacute;n Progreso y Democracia (UPyD),1143225,4.7,5
,,2011,Euzko Alderdi Jeltzalea-Partido Nacionalista Vasco (EAJ-PNV),324317,1.3,5
,,2011,Esquerra Republicana de Catalunya (ERC/ESQUERRA),256985,1.1,3
,,2011,Bloque Nacionalista Galego (BNG),184037,0.8,2
,,2011,Coalici&oacute;n Canaria - Nueva Canarias (CC-NC-PNC),143881,0.6,2
,,2011,Bloc-Iniciativa-Verds-Equo-Coalici&oacute; Comprom&iacute;s (COMPROM&Iacute;S-Q),125306,0.5,1
,,2011,Foro de Ciudadanos (FAC),99473,0.4,1
,,2011,Geroa Bai (GBAI),42415,0.2,1
,,2011,Equo (EQUO),216748,0.9,0
,,2011,Partido Animalista Contra el Maltrato Animal (PACMA),102144,0.4,0
,,2011,Esca&ntilde;os en Blanco (Eb),97673,0.4,0
,,2011,Partido Andalucista (PA),76999,0.3,0
,,2011,Plataforma per Catalunya (PxC),59949,0.2,0
,,2011,Partido Regionalista de Cantabria (PRC),44010,0.2,0
,,2011,Otros,191957,0.8,0
01,,2011,Censo,6390138,,
01,,2011,Votantes,4403048,68.9,
01,,2011,Nulos,45305,,
01,,2011,V&aacute;lidos,4357743,,
01,,2011,Blancos,53267,,
01,,2011,Partido Popular (PP),1985612,45.6,33
01,,2011,Partido Socialista Obrero Espa&ntilde;ol (PSOE),1594893,36.6,25
01,,2011,La Izquierda Plural (IULV-CA),360212,8.3,2
01,,2011,Uni&oacute;n Progreso y Democracia (UPyD),207923,4.8,0
01,,2011,Partido Andalucista (PA),76999,1.8,0
01,,2011,Equo (EQUO),35639,0.8,0
01,,2011,Esca&ntilde;os en Blanco (Eb),11194,0.3,0
01,,2011,Partido Animalista Contra el Maltrato Animal (PACMA),7966,0.2,0
01,,2011,Otros,24038,0.6,0
02,,2011,Censo,1018510,,
02,,2011,Votantes,723071,71.0,
02,,2011,Nulos,11379,,
02,,2011,V&aacute;lidos,711692,,
02,,2011,Blancos,14535,,
02,,2011,Partido Popular-Partido Aragon&eacute;s (PP-PAR),339502,47.7,8
02,,2011,Partido Socialista Obrero Espa&ntilde;ol (PSOE),224314,31.5,4
02,,2011,La Izquierda Plural (ChA-IU),74944,10.5,1
02,,2011,Uni&oacute;n Progreso y Democracia (UPyD),41032,5.8,0
02,,2011,Equo (EQUO),5329,0.7,0
02,,2011,Partido Animalista Contra el Maltrato Animal (PACMA),3404,0.5,0
02,,2011,Esca&ntilde;os en Blanco (Eb),3106,0.4,0
02,,2011,Otros,5526,0.8,0
05,,2011,Censo,1587295,,
05,,2011,Votantes,946008,59.6,
05,,2011,Nulos,16098,,
05,,2011,V&aacute;lidos,929910,,
05,,2011,Blancos,12044,,
05,,2011,Partido Popular (PP),446118,48.0,9
05,,2011,Partido Socialista Obrero Espa&ntilde;ol (PSOE),231086,24.9,4
05,,2011,Coalici&oacute;n Canaria - Nueva Canarias (CC-NC-PNC),143881,15.5,2
05,,2011,La Izquierda Plural (IUC-IpH-LV),40123,4.3,0
05,,2011,Uni&oacute;n Progreso y Democracia (UPyD),24524,2.6,0
05,,2011,Equo (EQUO),15587,1.7,0
05,,2011,Partido Animalista Contra el Maltrato Animal (PACMA),4906,0.5,0
05,,2011,Otros,11641,1.3,0
07,,2011,Censo,1571498,,
07,,2011,Votantes,1190570,75.8,
07,,2011,Nulos,17718,,
07,,2011,V&aacute;lidos,1172852,,
07,,2011,Blancos,15033,,
07,,2011,Partido Popular (PP),654546,55.8,14
07,,2011,Partido Socialista Obrero Espa&ntilde;ol (PSOE),355806,30.3,7
07,,2011,La Izquierda Plural (IUCLM-LV),67817,5.8,0
07,,2011,Uni&oacute;n Progreso y Democracia (UPyD),58224,5.0,0
07,,2011,Equo (EQUO),7847,0.7,0
07,,2011,Partido Animalista Contra el Maltrato Animal (PACMA),4156,0.4,0
07,,2011,Esca&ntilde;os en Blanco (Eb),2876,0.2,0
07,,2011,Otros,6547,0.6,0
08,,2011,Censo,2166857,,
08,,2011,Votantes,1544743,71.3,
08,,2011,Nulos,22136,,
08,,2011,V&aacute;lidos,1522607,,
08,,2011,Blancos,25201,,
08,,2011,Partido Popular (PP),843110,55.4,21
08,,2011,Partido Socialista Obrero Espa&ntilde;ol (PSOE),444451,29.2,11
08,,2011,Uni&oacute;n Progreso y Democracia (UPyD),93197,6.1,0
08,,2011,La Izquierda Plural (IUCL),85814,5.6,0
08,,2011,Equo (EQUO),10166,0.7,0
08,,2011,Partido Animalista Contra el Maltrato Animal (PACMA),5436,0.4,0
08,,2011,Esca&ntilde;os en Blanco (Eb),1335,0.1,0
08,,2011,Otros,13897,0.9,0
09,,2011,Censo,5396341,,
09,,2011,Votantes,3516310,65.2,
09,,2011,Nulos,55450,,
09,,2011,V&aacute;lidos,3460860,,
09,,2011,Blancos,63884,,
09,,2011,Converg&egrave;ncia i Uni&oacute; (CiU),1015691,29.3,16
09,,2011,Partit dels Socialistes de Catalunya (PSC-PSOE),922547,26.7,14
09,,2011,Partido Popular (PP),716371,20.7,11
09,,2011,Iniciativa per Catalunya Verds-Esquerra Unida i Alternativa (ICV-EUiA),280152,8.1,3
09,,2011,Esquerra Republicana de Catalunya (ERC-RI.cat/ESQUERRA),244854,7.1,3
09,,2011,Plataforma per Catalunya (PxC),59949,1.7,0
09,,2011,Esca&ntilde;os en Blanco (Eb),50879,1.5,0
09,,2011,Uni&oacute;n Progreso y Democracia (UPyD),39650,1.1,0
09,,2011,Partido Animalista Contra el Maltrato Animal (PACMA),23826,0.7,0
09,,2011,Otros,43057,1.2,0
